matricula_id,cidade,indice_desenvolvimento_da_cidade,genero,experiencia_relevante,universidade_matriculada,nivel_educacional,disciplina_principal,experiencia,tamanho_da_empresa,tipo_da_empresa,ultimo_novo_emprego,horas_treinamento
12115,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,Mais de 4 anos,158
26440,city_45,89,Masculino,Possui experiência relevante,Curso em tempo integral,Ensino Médio,,9,<10,Empresa Privada Ltda,2 anos,54
28319,city_114,"9,26E+15",Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",13,1000-4999,Empresa Privada Ltda,1 ano,33
11654,city_44,725,Feminino,Possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",9,50-99,,Nunca,100
22964,city_114,"9,26E+15",,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,Nunca,37
6834,city_80,847,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,100-500,Empresa Privada Ltda,1 ano,99
15305,city_73,754,Feminino,Não possui experiência relevante,,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",7,,,1 ano,206
14669,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,50-99,Startup Financiada,1 ano,4
15978,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,>20,100-500,Empresa Privada Ltda,Mais de 4 anos,266
32027,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,4 anos,24
4806,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Não matriculado,Mestrado,Humanas,18,100-500,Empresa Privada Ltda,Mais de 4 anos,19
23700,city_100,887,,Não possui experiência relevante,Curso em tempo integral,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",>20,500-999,Setor PÃºblico,Mais de 4 anos,106
5956,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,6,,,Nunca,14
2441,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,1000-4999,Empresa Privada Ltda,Mais de 4 anos,36
20068,city_114,"9,26E+15",Masculino,Possui experiência relevante,,Graduação,Humanas,>20,,,Mais de 4 anos,72
18369,city_21,624,,Não possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",11,<10,Setor PÃºblico,2 anos,50
28121,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,10/49,Empresa Privada Ltda,Mais de 4 anos,17
15061,city_136,897,Masculino,Possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",<1,5000-9999,,4 anos,15
7443,city_173,878,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",8,10000+,Empresa Privada Ltda,1 ano,334
14456,city_21,624,Feminino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",<1,50-99,Empresa Privada Ltda,1 ano,33
1864,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",8,100-500,Startup em Estágio inicial,2 anos,92
23766,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",6,10000+,Empresa Privada Ltda,1 ano,250
13051,city_136,897,Masculino,Possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,,,1 ano,33
25644,city_16,91,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,3 anos,304
16941,city_103,92,Masculino,Possui experiência relevante,,Graduação,Administração/Ecocomia,5,50-99,Empresa Privada Ltda,4 anos,64
30388,city_67,855,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,10000+,Empresa Privada Ltda,1 ano,64
5861,city_104,924,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,100-500,Empresa Privada Ltda,Mais de 4 anos,39
9840,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,8,,Setor PÃºblico,1 ano,81
16203,city_89,925,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,,Empresa Privada Ltda,1 ano,67
23986,city_128,527,Masculino,Não possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",<1,,,1 ano,30
6889,city_28,"9,39E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",13,<10,Empresa Privada Ltda,1 ano,152
3658,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,12,50-99,Empresa Privada Ltda,1 ano,102
4004,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",1,10/49,Startup Financiada,1 ano,119
14620,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,Mais de 4 anos,7
18979,city_114,"9,26E+15",,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",14,50-99,Empresa Privada Ltda,1 ano,172
25101,city_21,624,,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",2,5000-9999,Empresa Privada Ltda,1 ano,284
10873,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,3,,,Nunca,36
24570,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,Humanas,>20,10000+,Empresa Privada Ltda,Mais de 4 anos,89
25051,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",9,,,4 anos,107
22366,city_90,698,Masculino,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",13,50-99,Startup Financiada,1 ano,10
11762,city_105,794,Masculino,Não possui experiência relevante,Não matriculado,Mestrado,AdministraÃ§Ã£o/Economia,<1,100-500,Empresa Privada Ltda,2 anos,54
9993,city_16,91,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",4,5000-9999,Setor PÃºblico,2 anos,46
31464,city_80,847,Masculino,Não possui experiência relevante,Não matriculado,Ensino Fundamental,,3,,,Nunca,43
5040,city_64,"6,66E+15",Feminino,Possui experiência relevante,Não matriculado,Graduação,Outros,3,10/49,Empresa Privada Ltda,2 anos,44
976,city_67,855,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,100-500,Empresa Privada Ltda,2 anos,57
30784,city_114,"9,26E+15",Masculino,Possui experiência relevante,Curso em tempo integral,Ensino Médio,,17,500-999,Empresa Privada Ltda,Mais de 4 anos,180
31557,city_100,887,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,Humanas,1,,,1 ano,15
22982,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,1 ano,50
29300,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10/49,Empresa Privada Ltda,1 ano,33
5932,city_72,795,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,5000-9999,Empresa Privada Ltda,1 ano,116
31852,city_73,754,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",4,50-99,,2 anos,4
20833,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",13,10/49,Empresa Privada Ltda,1 ano,124
9501,city_71,884,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,100-500,,1 ano,20
9707,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",8,,,2 anos,96
20756,city_116,743,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",3,500-999,Empresa Privada Ltda,1 ano,42
11541,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Não matriculado,Mestrado,Humanas,9,50-99,ONG,1 ano,34
28084,city_136,897,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,Mais de 4 anos,14
9726,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,,,Mais de 4 anos,42
31483,city_10,895,,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",14,1000-4999,Empresa Privada Ltda,,40
17440,city_171,664,Masculino,Possui experiência relevante,Não matriculado,,,9,,,1 ano,33
30836,city_134,698,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",6,,Empresa Privada Ltda,1 ano,21
139,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",17,500-999,Empresa Privada Ltda,1 ano,52
2606,city_158,"7,66E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",10,,,Nunca,99
14158,city_103,92,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",9,,,1 ano,18
13100,city_27,848,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,,,2 anos,109
30502,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,5000-9999,Setor Público,1 ano,22
24245,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,>20,10/49,Empresa Privada Ltda,1 ano,56
28562,city_50,"8,96E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,4 anos,170
12735,city_50,"8,96E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",8,50-99,,2 anos,24
4114,city_114,"9,26E+15",Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,50-99,Empresa Privada Ltda,3 anos,44
30367,city_102,804,Masculino,Não possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,,,2 anos,66
5412,city_173,878,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",1,,,1 ano,70
27834,city_50,"8,96E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",7,500-999,Empresa Privada Ltda,1 ano,40
4709,city_90,698,Masculino,Não possui experiência relevante,Não matriculado,Ensino Fundamental,,2,,,Nunca,88
23880,city_13,"8,27E+15",,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,Humanas,<1,,,Nunca,44
18607,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,1 ano,112
15527,city_28,"9,39E+15",Masculino,Possui experiência relevante,,Ensino Médio,,6,10000+,,1 ano,144
13748,city_73,754,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",17,10000+,Empresa Privada Ltda,1 ano,41
24331,city_21,624,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,1000-4999,Empresa Privada Ltda,3 anos,52
10636,city_65,802,Masculino,Possui experiência relevante,Não matriculado,Graduação,Sem disciplina principal,12,1000-4999,Empresa Privada Ltda,Mais de 4 anos,33
12488,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",2,<10,Startup em Estágio inicial,1 ano,56
16660,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,2,100-500,Empresa Privada Ltda,1 ano,84
2892,city_41,"8,27E+15",,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",8,,,,109
6332,city_160,92,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",11,,,1 ano,51
6504,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",12,10000+,Empresa Privada Ltda,Nunca,108
19043,city_46,762,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,50-99,Empresa Privada Ltda,1 ano,44
22715,city_162,767,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",11,100-500,Empresa Privada Ltda,Mais de 4 anos,24
27606,city_104,924,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",14,10/49,Empresa Privada Ltda,2 anos,6
33052,city_99,915,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",15,100-500,Empresa Privada Ltda,1 ano,25
6793,city_138,836,Masculino,Não possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",9,50-99,Startup Financiada,1 ano,102
16595,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,10000+,Empresa Privada Ltda,2 anos,8
18261,city_136,897,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",8,10/49,ONG,Nunca,26
27307,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,500-999,,2 anos,50
25699,city_16,91,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",7,,,Nunca,31
11707,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,3 anos,21
21613,city_21,624,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,1000-4999,Empresa Privada Ltda,1 ano,54
32057,city_116,743,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",14,,,1 ano,26
115,city_61,"9,13E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",12,1000-4999,Empresa Privada Ltda,1 ano,10
6823,city_28,"9,39E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Startup Financiada,1 ano,167
14353,city_149,"6,89E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Fundamental,,4,<10,Startup em EstÃ¡gio Inicial,1 ano,70
26805,city_103,92,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,,,Mais de 4 anos,41
15635,city_149,"6,89E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,2,,,1 ano,122
26417,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,1 ano,29
3848,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",13,50-99,Empresa Privada Ltda,3 anos,18
17211,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,50-99,Empresa Privada Ltda,2 anos,4
13103,city_103,92,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",13,10000+,Empresa Privada Ltda,3 anos,5
5243,city_101,"5,58E+15",,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,10/49,Empresa Privada Ltda,Mais de 4 anos,12
2107,city_162,767,Masculino,Possui experiência relevante,,Graduação,Administração/Ecocomia,14,50-99,Empresa Privada Ltda,3 anos,29
30974,city_104,924,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,2 anos,24
2998,city_136,897,Masculino,Não possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",4,10000+,Empresa Privada Ltda,1 ano,21
22975,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,2 anos,138
27239,city_21,624,Masculino,Não possui experiência relevante,,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",1,,Empresa Privada Ltda,1 ano,90
18463,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",6,,,Nunca,84
21490,city_21,624,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",4,100-500,Empresa Privada Ltda,,99
30657,city_65,802,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",3,10/49,Empresa Privada Ltda,2 anos,214
32075,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",8,,,2 anos,92
31141,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,<10,Empresa Privada Ltda,1 ano,12
2340,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,<10,Empresa Privada Ltda,1 ano,111
21188,city_16,91,,Não possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",1,10000+,ONG,1 ano,28
24156,city_67,855,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",10,,,1 ano,27
32584,city_142,727,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",14,10/49,Empresa Privada Ltda,4 anos,48
6515,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,50-99,Empresa Privada Ltda,1 ano,14
14292,city_103,92,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,10000+,Empresa Privada Ltda,Mais de 4 anos,292
16125,city_103,92,,Possui experiência relevante,Não matriculado,Graduação,Humanas,19,100-500,Empresa Privada Ltda,Mais de 4 anos,40
25802,city_103,92,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,Mais de 4 anos,42
19385,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",11,10000+,Empresa Privada Ltda,1 ano,36
27304,city_115,789,Masculino,Não possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",20,50-99,Empresa Privada Ltda,Mais de 4 anos,94
3697,city_21,624,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",15,10000+,Empresa Privada Ltda,Mais de 4 anos,57
11800,city_25,698,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",4,500-999,Empresa Privada Ltda,2 anos,101
180,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,Humanas,2,100-500,Startup Financiada,2 anos,35
7733,city_21,624,,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,50-99,,1 ano,24
6935,city_16,91,Masculino,Possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,2 anos,130
4082,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Setor Público,Mais de 4 anos,96
31959,city_104,924,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,10/49,Startup Financiada,1 ano,56
25113,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",2,10/49,,1 ano,32
14329,city_57,866,Masculino,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",8,,,4 anos,99
15570,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,Humanas,10,<10,Empresa Privada Ltda,2 anos,46
32516,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,<10,Startup em Estágio inicial,1 ano,50
2535,city_14,698,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,<10,Startup em Estágio inicial,Mais de 4 anos,97
16014,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",17,100-500,Empresa Privada Ltda,1 ano,28
24251,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Não matriculado,Ensino Médio,,7,<10,Empresa Privada Ltda,Mais de 4 anos,132
31019,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",4,,Empresa Privada Ltda,Nunca,100
21012,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,50-99,Empresa Privada Ltda,2 anos,184
22140,city_103,92,,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",3,1000-4999,Setor PÃºblico,2 anos,28
21462,city_21,624,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",10,10000+,Setor PÃºblico,1 ano,218
20786,city_16,91,Masculino,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",5,,,3 anos,3
32404,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",11,,,4 anos,29
16084,city_11,55,,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,50-99,Empresa Privada Ltda,Mais de 4 anos,99
20103,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,Mais de 4 anos,18
22525,city_50,"8,96E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,7
13230,city_103,92,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,,,1 ano,29
29502,city_23,899,Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,4,100-500,Startup Financiada,1 ano,61
11646,city_10,895,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",8,10/49,Empresa Privada Ltda,1 ano,78
6058,city_98,"9,49E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",15,50-99,,2 anos,102
30892,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,500-999,Empresa Privada Ltda,1 ano,10
31017,city_149,"6,89E+15",Feminino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",4,50-99,Startup em EstÃ¡gio Inicial,1 ano,41
23803,city_71,884,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,50-99,Empresa Privada Ltda,2 anos,30
6831,city_128,527,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,50-99,Empresa Privada Ltda,Mais de 4 anos,38
20380,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",3,,Empresa Privada Ltda,1 ano,28
15629,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",18,1000-4999,Empresa Privada Ltda,2 anos,21
17342,city_114,"9,26E+15",Feminino,Não possui experiência relevante,,Ensino Médio,,16,1000-4999,,2 anos,6
22359,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,,,4,,,Nunca,176
27610,city_27,848,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,<10,Empresa Privada Ltda,2 anos,31
26769,city_102,804,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",4,,,Nunca,94
3979,city_73,754,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,10000+,Empresa Privada Ltda,1 ano,18
25171,city_16,91,,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",3,<10,Startup em EstÃ¡gio Inicial,1 ano,45
23379,city_67,855,Masculino,Não possui experiência relevante,,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",16,,,Mais de 4 anos,129
18138,city_27,848,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,100-500,Empresa Privada Ltda,1 ano,28
31687,city_173,878,Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,<1,10/49,Startup Financiada,1 ano,105
23739,city_102,804,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",11,,,2 anos,58
8392,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",3,10/49,Startup em EstÃ¡gio Inicial,1 ano,4
6427,city_75,"9,39E+15",Masculino,Possui experiência relevante,,Doutorado,Artes,>20,,,Mais de 4 anos,51
27813,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Doutorado,Humanas,16,5000-9999,Setor Público,Mais de 4 anos,258
